,date,type,price,amount,balance,sma,long_sma,slope,profit
0,2020-02-10T09:00:00.000,buy,11821000,0.08455291430505034,999500,9900475,,,
1,2020-02-27T09:00:00.000,sell,10742000,0,907813.2717621183,10966750,0,0,-9.127823365197528
2,2020-04-07T09:00:00.000,buy,8777000,0.10337921443844562,907359.3651262373,8586850,,,
3,2020-04-16T09:00:00.000,sell,8107000,0,837676.2438067524,8115950,0,0,-7.633587786259542
4,2020-04-17T09:00:00.000,buy,8557000,0.09784473596877984,837257.405684849,8063050,,,
5,2020-06-12T09:00:00.000,sell,11090000,0,1084555.5728328216,11359500,0,0,29.601495851349775
6,2020-06-17T09:00:00.000,buy,11453000,0.09464885139670001,1084013.2950464052,11380425,9937750,125,
7,2020-06-19T09:00:00.000,sell,11341000,0,1072875.91737813,11364100,0,0,-0.9779097179778224
8,2020-07-22T09:00:00.000,buy,11117000,0.09645942965003516,1072339.479419441,11104525,10384150,25633.333333333954,
9,2020-09-04T09:00:00.000,sell,12301000,0,1185954.17040302,13564975,0,0,10.650355311684807
10,2020-10-10T09:00:00.000,buy,12637000,0.0938008382778997,1185361.1933178185,12582175,12349191.666666666,12900,
11,2021-01-28T09:00:00.000,sell,34293000,0,3215103.7909904826,35496425,0,0,171.3697871330221
12,2021-01-29T09:00:00.000,buy,36631000,0.08772614012980774,3213496.2390949875,35757800,23452466.666666668,200550,
13,2021-02-01T09:00:00.000,sell,36408000,0,3192336.3431911175,36582175,0,0,-0.6087739892440829
14,2021-02-03T09:00:00.000,buy,37910000,0.08416618768186553,3190740.175019522,37123300,24480025,211450,
15,2021-04-20T09:00:00.000,sell,71448000,0,6010499.024605181,71603125,0,0,88.4674228435769
16,2021-05-09T09:00:00.000,buy,71728000,0.08375381685106065,6007493.775092878,71342600,58546125,204375,
17,2021-05-11T09:00:00.000,sell,70902000,0,5935343.965812716,71344950,0,0,-1.15157260762882
18,2021-09-15T09:00:00.000,buy,56564000,0.10487900950834117,5932376.29382981,55380200,46693300,20891.666666664183,
19,2021-09-21T09:00:00.000,sell,53801000,0,5639774.2927629845,56220725,0,0,-4.884732338589916
20,2021-10-02T09:00:00.000,buy,58348000,0.09660921377967717,5636954.405616604,55649150,47824083.333333336,107641.66666667163,
21,2021-11-17T09:00:00.000,sell,73897000,0,7135561.505141466,74624775,0,0,26.648728319736755
22,2022-10-18T09:00:00.000,buy,27993000,0.2547777560243238,7131993.724388896,27959175,28501800,11258.333333332092,
23,2022-10-19T09:00:00.000,sell,27824000,0,7085391.815478975,27982300,0,0,-0.6037223591612189
24,2022-10-24T09:00:00.000,buy,27981000,0.2530949258272126,7081849.119571236,27737575,28531000,1241.6666666679084,
25,2022-11-09T09:00:00.000,sell,26652000,0,6742113.220165297,28204025,0,0,-4.7496515492655735
26,2023-01-21T09:00:00.000,buy,28025000,0.24045467131329937,6738742.163555215,22744150,24885616.666666668,3783.333333335817,
27,2023-03-04T09:00:00.000,sell,29710000,0,7140336.330575765,29890850,0,0,6.012488849241748
28,2023-03-06T09:00:00.000,buy,29982000,0.2380350264295403,7136766.162410477,29962350,25519666.666666668,1883.3333333358169,
29,2023-03-07T09:00:00.000,sell,29769000,0,7082521.669430095,29988175,0,0,-0.7104262557534521
30,2023-03-14T09:00:00.000,buy,31676000,0.22348088169577537,7078980.40859538,29942125,25766483.333333332,76383.33333333209,
31,2023-04-22T09:00:00.000,sell,36337000,0,8116564.485780301,37130275,0,0,14.714610430609925
32,2023-04-26T09:00:00.000,buy,37877000,0.21418027308227713,8112506.203537411,37595250,31019133.333333332,134791.66666666418,
33,2023-05-02T09:00:00.000,sell,37768000,0,8085115.973494558,37898900,0,0,-0.2877735829131135
34,2023-05-03T09:00:00.000,buy,38406000,0.21041174336061583,8081073.415507811,37927175,32040600,143250,
35,2023-05-08T09:00:00.000,sell,38152000,0,8023615.018277868,38186200,0,0,-0.6613549966151122
36,2023-05-29T09:00:00.000,buy,37360000,0.21465747352164694,8019603.210768729,37214900,34538058.333333336,69058.33333333582,
37,2023-05-30T09:00:00.000,sell,36992000,0,7936638.955882507,37182200,0,0,-0.9850107066381156
38,2023-06-21T09:00:00.000,buy,36955000,0.21465757370868804,7932670.6364045665,35596050,35595816.666666664,42191.66666666418,
39,2023-07-20T09:00:00.000,sell,38322000,0,8221994.485894511,38418750,0,0,3.6990934920849683
40,2023-07-21T09:00:00.000,buy,38567000,0.21308070341617352,8217883.488651564,38523625,37630275,18291.666666664183,
41,2023-07-25T09:00:00.000,sell,37892000,0,8070016.986838724,39001575,0,0,-1.750200948997848
42,2023-08-09T09:00:00.000,buy,39437000,0.20452828507100707,8065981.978345306,39100550,37823458.333333336,3766.6666666716337,
43,2023-08-18T09:00:00.000,sell,36588000,0,7479539.253730918,38748175,0,0,-7.224180338261024
44,2023-09-20T09:00:00.000,buy,36509000,0.20476593399172952,7475799.484104053,36194175,37295700,4608.333333335817,
45,2023-09-22T09:00:00.000,sell,35989000,0,7365636.537829139,36044100,0,0,-1.4243063354241419
46,2023-09-24T09:00:00.000,buy,35951000,0.20477743928013756,7361953.7195602255,35881750,37306316.666666664,1575,
47,2023-09-25T09:00:00.000,sell,35530000,0,7272104.546414476,35785000,0,0,-1.1710383577647354
48,2023-09-29T09:00:00.000,buy,36596000,0.19861374177891764,7268468.4941412695,35687500,37270466.666666664,1708.3333333283663,
49,2024-01-14T09:00:00.000,sell,58968000,0,11705999.197656605,59049600,0,0,61.132364192807955
50,2024-01-17T09:00:00.000,buy,59197000,0.19764762062364272,11700146.198057778,58928350,49248158.333333336,193300,
51,2024-01-18T09:00:00.000,sell,58776000,0,11611128.081500337,58894200,0,0,-0.7111846884132642
52,2024-01-30T09:00:00.000,buy,59129000,0.19627124621521735,11605322.517459586,58458925,51503991.666666664,177600,
53,2024-04-14T09:00:00.000,sell,97093000,0,19047035.826719712,98350500,0,0,64.20538145410882
54,2024-04-15T09:00:00.000,buy,98931000,0.19243222355789744,19037512.308806352,98541250,75565250,341416.66666667163,
55,2024-04-16T09:00:00.000,sell,96530000,0,18566194.798773818,98621300,0,0,-2.426944031698861
56,2024-05-18T09:00:00.000,buy,92632000,0.2003293861880822,18556911.70137443,92129375,84247975,294683.33333332837,
57,2024-06-18T09:00:00.000,sell,93589000,0,18739252.610494446,93991675,0,0,1.033120303998618
58,2024-07-21T09:00:00.000,buy,94073000,0.1990994545107438,18729882.9841892,88027650,92396833.33333333,1750,
59,2024-08-03T09:00:00.000,sell,86691000,0,17251500.745585393,87987200,0,0,-7.847097466860841
60,2024-10-18T09:00:00.000,buy,91758000,0.18791685733355784,17242874.9952126,83429100,84605633.33333333,1416.6666666567326,
61,2024-12-30T09:00:00.000,sell,139831000,0,26263463.776769824,140548250,0,0,52.39107216809433
62,2025-01-02T09:00:00.000,buy,141322000,0.18574837636660563,26250332.04488144,140832250,109711041.66666667,525400,
63,2025-01-09T09:00:00.000,sell,142375000,0,26432702.12265288,142932750,0,0,0.745106918951048
64,2025-01-16T09:00:00.000,buy,147309000,0.17934739745427336,26419485.771591555,144148575,117426775,551608.3333333284,
65,2025-02-08T09:00:00.000,sell,149602000,0,26817313.98927723,149836775,0,0,1.5565919258158023
66,2025-05-09T09:00:00.000,buy,144688000,0.18525313317125533,26803905.33228259,128269825,136009816.66666666,20100,
67,2025-06-06T09:00:00.000,sell,141588000,0,26216505.809141975,144916725,0,0,-2.1425411920822737
68,2025-06-10T09:00:00.000,buy,150330000,0.17430584418437708,26203397.556237407,146004550,134996850,22925,
69,2025-06-13T09:00:00.000,sell,145811000,0,25403001.591645025,146773700,0,0,-3.006053349298211
70,2025-06-14T09:00:00.000,buy,147265000,0.17241231854717143,25390300.090849202,147064050,135046066.66666666,11575,
71,2025-06-15T09:00:00.000,sell,146401000,0,25228715.17970063,147351825,0,0,-0.5866974501748549
72,2025-06-30T09:00:00.000,buy,147996000,0.17038366457276402,25216100.822110783,147483025,136084816.66666666,163966.66666665673,
73,2025-07-01T09:00:00.000,sell,145759000,0,24822535.088179283,147318100,0,0,-1.5115273385767183
74,2025-07-03T09:00:00.000,buy,147372000,0.16835032313217704,24810123.820635196,147009400,136377533.33333334,141183.33333334327,
75,2025-08-19T09:00:00.000,sell,161513000,0,27177170.357177287,161534550,0,0,9.595445539179764
76,2025-09-11T09:00:00.000,buy,158562000,0.1713120531527018,27163581.7719987,158523800,153812275,105675,
77,2025-10-18T09:00:00.000,sell,163639000,0,28019316.39932204,165390625,0,0,3.201902095079527
78,2025-10-27T09:00:00.000,buy,169514000,0.16520940300578346,28005306.741122376,166707950,160877858.33333334,186166.66666668653,
79,2025-10-30T09:00:00.000,sell,164597000,0,27179375.62048967,167102350,0,0,-2.9006453744233514
